[ft_conscious] judged 18 records; cost so far ~$0.004
[ft_conscious] judged 28 records; cost so far ~$0.006
[ft_conscious] judged 38 records; cost so far ~$0.007
[ft_conscious] judged 48 records; cost so far ~$0.010
[ft_conscious] judged 68 records; cost so far ~$0.014
[ft_conscious] judged 88 records; cost so far ~$0.018
[ft_conscious] judged 108 records; cost so far ~$0.022
[ft_conscious] judged 118 records; cost so far ~$0.024
[ft_conscious] judged 128 records; cost so far ~$0.026
[ft_conscious] judged 138 records; cost so far ~$0.028
[ft_conscious] judged 148 records; cost so far ~$0.030
[ft_conscious] judged 158 records; cost so far ~$0.031
[ft_conscious] judged 168 records; cost so far ~$0.033
[ft_conscious] judged 178 records; cost so far ~$0.035
[ft_conscious] judged 188 records; cost so far ~$0.037
[ft_conscious] judged 198 records; cost so far ~$0.039
[ft_conscious] complete: 198 records, session cost ~$0.039
[ft_not_conscious] judged 18 records; cost so far ~$0.043
[ft_not_conscious] judged 28 records; cost so far ~$0.045
[ft_not_conscious] judged 38 records; cost so far ~$0.047
[ft_not_conscious] judged 58 records; cost so far ~$0.052
[ft_not_conscious] judged 88 records; cost so far ~$0.057
[ft_not_conscious] judged 98 records; cost so far ~$0.060
[ft_not_conscious] judged 128 records; cost so far ~$0.066
[ft_not_conscious] judged 148 records; cost so far ~$0.069
[ft_not_conscious] judged 158 records; cost so far ~$0.071
[ft_not_conscious] judged 178 records; cost so far ~$0.075
[ft_not_conscious] judged 198 records; cost so far ~$0.079
[ft_not_conscious] complete: 198 records, session cost ~$0.079
